Bytes Used	Count		Symbol Name
 616.47 MB      99.4%	24415	 	start
 616.47 MB      99.4%	24415	 	 main
 614.53 MB      99.1%	23976	 	  rvmRun
 614.53 MB      99.1%	23976	 	   rvmCallVoidClassMethod
 614.53 MB      99.1%	23976	 	    rvmCallVoidClassMethodA
 614.43 MB      99.1%	23855	 	     callVoidMethod
 614.43 MB      99.1%	23855	 	      _call0
 614.43 MB      99.1%	23855	 	       [J]forge.ios.Main.main([Ljava/lang/String;)V
 614.41 MB      99.1%	23848	 	        [j]org.robovm.apple.uikit.UIApplication.main([Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Class;)V[clinit]
 614.40 MB      99.1%	23844	 	         [J]org.robovm.apple.uikit.UIApplication.main([Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Class;)V
 614.40 MB      99.1%	23844	 	          [J]org.robovm.apple.uikit.UIApplication.main(ILorg/robovm/rt/bro/ptr/BytePtr$BytePtrPtr;Ljava/lang/String;Ljava/lang/String;)I
 614.40 MB      99.1%	23843	 	           UIApplicationMain
 613.72 MB      99.0%	22276	 	            -[UIApplication _run]
 613.71 MB      99.0%	22178	 	             GSEventRunModal
 613.71 MB      99.0%	22178	 	              _CFRunLoopRunSpecificWithOptions
 613.71 MB      99.0%	22178	 	               __CFRunLoopRun
 453.24 MB      73.1%	21302	 	                __CFRunLoopDoSources0
 453.24 MB      73.1%	21302	 	                 __CFRunLoopDoSource0
 453.24 MB      73.1%	21301	 	                  __CFRUNLOOP_IS_CALLING_OUT_TO_A_SOURCE0_PERFORM_FUNCTION__
 403.98 MB      65.1%	10749	 	                   UC::DriverCore::continueProcessing()
 403.98 MB      65.1%	10729	 	                    schedulerStepScheduledMainSectionContinue
 403.98 MB      65.1%	10719	 	                     _UIUpdateSequenceRunNext
 403.95 MB      65.1%	10481	 	                      CA::Display::DisplayLink::dispatch_deferred_display_links(unsigned int)
 403.95 MB      65.1%	10481	 	                       CA::Display::DisplayLink::dispatch_items(unsigned long long, unsigned long long, unsigned long long)
 403.95 MB      65.1%	10481	 	                        CA::Display::DisplayLinkItem::dispatch_(CA::SignPost::Interval<(CA::SignPost::CAEventCode)835322056>&)
 403.95 MB      65.1%	10481	 	                         -[GLKViewController _updateAndDraw]
 348.02 MB      56.1%	1988	 	                          [j]com.badlogic.gdx.backends.iosrobovm.IOSGraphics$IOSViewDelegate.$cb$glkViewControllerUpdate$(Lcom/badlogic/gdx/backends/iosrobovm/IOSGraphics$IOSViewDelegate;Lorg/robovm/objc/Selector;Lorg/robovm/apple/glkit/GLKViewController;)V[callback]
 348.02 MB      56.1%	1988	 	                           [J]com.badlogic.gdx.backends.iosrobovm.IOSGraphics$IOSViewDelegate.$cb$glkViewControllerUpdate$(Lcom/badlogic/gdx/backends/iosrobovm/IOSGraphics$IOSViewDelegate;Lorg/robovm/objc/Selector;Lorg/robovm/apple/glkit/GLKViewController;)V
 348.02 MB      56.1%	1988	 	                            [J]com.badlogic.gdx.backends.iosrobovm.IOSGraphics$IOSViewDelegate.update(Lorg/robovm/apple/glkit/GLKViewController;)V
 348.02 MB      56.1%	1988	 	                             [J]com.badlogic.gdx.backends.iosrobovm.IOSGraphics.update(Lorg/robovm/apple/glkit/GLKViewController;)V
 348.02 MB      56.1%	1988	 	                              [J]com.badlogic.gdx.backends.iosrobovm.IOSApplication.processRunnables()V
 293.41 MB      47.3%	1137	 	                               [J]forge.assets.FSkinFont$1.run()V
 146.70 MB      23.6%	565	 	                                [J]forge.assets.Assets$MemoryTrackingAssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
 146.70 MB      23.6%	565	 	                                 [J]com.badlogic.gdx.assets.AssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
 146.70 MB      23.6%	565	 	                                  [j]com.badlogic.gdx.assets.AssetManager.update()Z[synchronized]
 146.70 MB      23.6%	565	 	                                   [J]com.badlogic.gdx.assets.AssetManager.update()Z
 146.70 MB      23.6%	565	 	                                    [J]com.badlogic.gdx.assets.AssetManager.updateTask()Z
 146.70 MB      23.6%	565	 	                                     [J]com.badlogic.gdx.assets.AssetLoadingTask.update()Z
 146.70 MB      23.6%	565	 	                                      [J]com.badlogic.gdx.assets.AssetLoadingTask.handleAsyncLoader()V
 146.70 MB      23.6%	565	 	                                       [J]com.badlogic.gdx.assets.loaders.TextureLoader.loadSync(Lcom/badlogic/gdx/assets/AssetManager;Ljava/lang/String;Lcom/badlogic/gdx/files/FileHandle;Lcom/badlogic/gdx/assets/AssetLoaderParameters;)Ljava/lang/Object;
 146.70 MB      23.6%	565	 	                                        [J]com.badlogic.gdx.assets.loaders.TextureLoader.loadSync(Lcom/badlogic/gdx/assets/AssetManager;Ljava/lang/String;Lcom/badlogic/gdx/files/FileHandle;Lcom/badlogic/gdx/assets/loaders/TextureLoader$TextureParameter;)Lcom/badlogic/gdx/graphics/Texture;
