Bytes Used	Count		Symbol Name
 572.50 MB      99.4%	32154	 	start
 572.50 MB      99.4%	32148	 	 main
 566.24 MB      98.3%	31698	 	  rvmRun
 566.24 MB      98.3%	31698	 	   rvmCallVoidClassMethod
 566.24 MB      98.3%	31698	 	    rvmCallVoidClassMethodA
 566.14 MB      98.3%	31577	 	     callVoidMethod
 566.14 MB      98.3%	31577	 	      _call0
 566.14 MB      98.3%	31577	 	       [J]forge.ios.Main.main([Ljava/lang/String;)V
 566.12 MB      98.3%	31570	 	        [j]org.robovm.apple.uikit.UIApplication.main([Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Class;)V[clinit]
 566.12 MB      98.3%	31566	 	         [J]org.robovm.apple.uikit.UIApplication.main([Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Class;)V
 566.12 MB      98.3%	31566	 	          [J]org.robovm.apple.uikit.UIApplication.main(ILorg/robovm/rt/bro/ptr/BytePtr$BytePtrPtr;Ljava/lang/String;Ljava/lang/String;)I
 566.12 MB      98.3%	31565	 	           UIApplicationMain
 565.41 MB      98.1%	29990	 	            -[UIApplication _run]
 565.41 MB      98.1%	29891	 	             GSEventRunModal
 565.41 MB      98.1%	29891	 	              _CFRunLoopRunSpecificWithOptions
 565.41 MB      98.1%	29891	 	               __CFRunLoopRun
 455.44 MB      79.0%	25887	 	                __CFRunLoopDoSources0
 455.44 MB      79.0%	25887	 	                 __CFRunLoopDoSource0
 455.43 MB      79.0%	25886	 	                  __CFRUNLOOP_IS_CALLING_OUT_TO_A_SOURCE0_PERFORM_FUNCTION__
 402.35 MB      69.8%	15492	 	                   UC::DriverCore::continueProcessing()
 402.35 MB      69.8%	15472	 	                    schedulerStepScheduledMainSectionContinue
 402.35 MB      69.8%	15462	 	                     _UIUpdateSequenceRunNext
 402.32 MB      69.8%	15175	 	                      CA::Display::DisplayLink::dispatch_deferred_display_links(unsigned int)
 402.32 MB      69.8%	15175	 	                       CA::Display::DisplayLink::dispatch_items(unsigned long long, unsigned long long, unsigned long long)
 402.32 MB      69.8%	15175	 	                        CA::Display::DisplayLinkItem::dispatch_(CA::SignPost::Interval<(CA::SignPost::CAEventCode)835322056>&)
 402.32 MB      69.8%	15174	 	                         -[GLKViewController _updateAndDraw]
 208.72 MB      36.2%	831	 	                          [j]com.badlogic.gdx.backends.iosrobovm.IOSGraphics$IOSViewDelegate.$cb$glkViewControllerUpdate$(Lcom/badlogic/gdx/backends/iosrobovm/IOSGraphics$IOSViewDelegate;Lorg/robovm/objc/Selector;Lorg/robovm/apple/glkit/GLKViewController;)V[callback]
 208.72 MB      36.2%	831	 	                           [J]com.badlogic.gdx.backends.iosrobovm.IOSGraphics$IOSViewDelegate.$cb$glkViewControllerUpdate$(Lcom/badlogic/gdx/backends/iosrobovm/IOSGraphics$IOSViewDelegate;Lorg/robovm/objc/Selector;Lorg/robovm/apple/glkit/GLKViewController;)V
 208.72 MB      36.2%	831	 	                            [J]com.badlogic.gdx.backends.iosrobovm.IOSGraphics$IOSViewDelegate.update(Lorg/robovm/apple/glkit/GLKViewController;)V
 208.72 MB      36.2%	831	 	                             [J]com.badlogic.gdx.backends.iosrobovm.IOSGraphics.update(Lorg/robovm/apple/glkit/GLKViewController;)V
 208.72 MB      36.2%	831	 	                              [J]com.badlogic.gdx.backends.iosrobovm.IOSApplication.processRunnables()V
 204.99 MB      35.5%	744	 	                               [J]forge.ios.IosGuiMobile$$Lambda$1.run()V
 204.99 MB      35.5%	744	 	                                [J]forge.ios.IosGuiMobile.lambda$invokeInEdtLater$0(Ljava/lang/Runnable;)V
 130.51 MB      22.6%	304	 	                                 [J]forge.Forge$$Lambda$14.run()V
 130.51 MB      22.6%	304	 	                                  [J]forge.Forge.lambda$afterDbLoaded$1()V
 130.51 MB      22.6%	304	 	                                   [j]forge.assets.FSkin.loadFull(Lforge/screens/SplashScreen;)V[clinit]
 130.51 MB      22.6%	304	 	                                    [J]forge.assets.FSkin.loadFull(Lforge/screens/SplashScreen;)V
  90.31 MB      15.6%	134	 	                                     [J]forge.assets.Assets.loadTexture(Lcom/badlogic/gdx/files/FileHandle;)V
  90.31 MB      15.6%	134	 	                                      [J]forge.assets.Assets.loadTexture(Lcom/badlogic/gdx/files/FileHandle;Lcom/badlogic/gdx/assets/loaders/TextureLoader$TextureParameter;)V
  90.31 MB      15.6%	134	 	                                       [J]forge.assets.Assets$MemoryTrackingAssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
  90.31 MB      15.6%	134	 	                                        [J]com.badlogic.gdx.assets.AssetManager.finishLoadingAsset(Ljava/lang/String;)Ljava/lang/Object;
  90.31 MB      15.6%	134	 	                                         [j]com.badlogic.gdx.assets.AssetManager.update()Z[synchronized]
  90.31 MB      15.6%	134	 	                                          [J]com.badlogic.gdx.assets.AssetManager.update()Z
  90.31 MB      15.6%	134	 	                                           [J]com.badlogic.gdx.assets.AssetManager.updateTask()Z
  90.31 MB      15.6%	134	 	                                            [J]com.badlogic.gdx.assets.AssetLoadingTask.update()Z
  90.31 MB      15.6%	134	 	                                             [J]com.badlogic.gdx.assets.AssetLoadingTask.handleAsyncLoader()V
